Roll Number,First Name,Last Name,Mobile Number,CGPA1,CGPA2,age
261,Rishi,Gupta,+919954629666,9.92,5.06,19
827,Seema,Singh,+919085484267,0.22,2.83,20
566,Pooja,Rao,+919692747629,4.0,5.78,20
431,Vikram,Trivedi,+919289900918,3.93,,20
688,Rishi,Nair,+918510327681,0.34,3.35,22
401,Pooja,Bose,+918752969300,8.74,7.23,19
532,Vaishnavi,Jha,+919009969408,5.63,4.38,2
774,Vaishnavi,Verma,+917407265215,8.35,2.51,23
942,Nikita,Mehta,+917631350107,0.66,0.5,18
660,Divya,Devi,+919595059601,,9.66,24
32,Vaishnavi,Pandey,+918922269173,4.02,4.08,17
300,Seema,Agarwal,+919811084246,3.35,9.33,16
501,Anika,Agarwal,+918906573611,1.66,6.82,19
513,Nikita,Nair,+919628988312,8.08,1.37,22
547,Manish,Nair,+917847308029,8.96,9.06,23
31,Karan,Devi,+917284199576,9.11,3.61,21
15,Aakash,Bose,+918752637853,7.8,1.51,16
588,Rohan,Verma,+918584791801,1.37,1.19,25
574,Amit,Rao,+918152968828,,3.13,16
699,Vikram,Mittal,+918450381983,5.2,2.63,24
189,Amit,Singh,+919678637430,9.29,3.88,19
613,Amit,Sharma,+917090460044,7.9,3.72,18
156,Arjun,Yadav,+917811478267,0.68,4.0,18
443,Rishi,Chauhan,+918050279598,3.87,1.82,23
627,Vaishnavi,Kumar,+919077709031,0.14,,22
733,Vikram,Patel,+919681159004,1.53,9.72,23
139,Rohan,Bose,+917706572107,8.42,8.84,20
722,Vaishnavi,Patel,+917550452611,9.49,3.29,180
639,Rohan,Yadav,+917434424864,8.11,4.33,24
581,Amit,Devi,+919852460979,4.73,7.34,16
284,Divya,Devi,+917244384079,,6.83,23
994,Suresh,Bose,+917021150581,0.0,4.69,24
317,Pooja,Devi,+919100666421,4.75,1.62,23
600,Arjun,Sharma,+917579409278,8.13,1.7,18
715,Rohan,Mittal,+919674363333,2.56,6.43,16
785,Vaishnavi,Patel,+917845760858,5.53,0.28,18
320,Priyanka,Chauhan,+918681058244,9.12,9.18,16
655,Vaishnavi,Mittal,+918596866416,5.11,0.25,22
859,Anika,Trivedi,+918635243475,2.92,3.36,22
523,Manish,Gupta,+917095946515,3.85,4.33,19
279,Vikram,Singh,+917785554887,5.74,5.75,23
281,Pooja,Mittal,+917222526570,9.22,5.9,19
94,Pooja,Das,+918405734546,,4.74,22
474,Amit,Rao,+919406425425,5.86,,16
271,Rahul,Bose,+919395711602,2.31,4.11,17
869,Suresh,Bose,+918940515383,3.91,6.73,22
113,Manish,Trivedi,+917541370185,3.29,1.57,19
414,Rishi,Mehta,+919939293191,,9.08,16
656,Karan,Jha,+918754597430,6.74,4.01,16
395,Vikram,Sharma,+917342735709,4.62,4.02,19
